,x,y,label
sulfide,10.925024,5.6507144,-1
article,-5.2122955,4.5261087,-1
desulfurization,9.382126,5.7468643,6
dna extraction,7.2375007,4.9075155,6
electron microscopy,7.967214,6.0478168,6
high throughput sequencing,8.429722,6.634239,6
inoculation,8.450133,4.8616934,6
microbial interaction,7.858283,5.9970646,6
mixed cell culture,7.93607,6.0561485,6
nonhuman,-3.791798,18.410553,-1
oxidation,8.797613,5.3346014,6
particle size,7.190649,0.7464942,-1
ph,6.2659254,5.1911674,4
reactor operation,8.389121,6.3140035,6
sludge,8.697882,5.1191006,6
thiobacillus,4.892024,5.117175,4
thiobacillus,5.0177655,5.245322,4
carbon dioxide,13.188769,8.686731,0
carbon monoxide,13.295903,8.805209,0
hydrocarbon,9.566089,4.7141466,6
nitrogen oxide,10.27368,4.5442705,6
air pollutant,8.252498,4.1902027,6
air pollution,9.160114,4.724884,-1
air pollution control,8.722287,5.981225,6
article,-5.280151,4.608197,-1
carbon footprint,13.154752,8.698866,0
china,7.1607094,2.0986104,3
energy consumption,8.580528,8.085262,6
environmental factor,7.903905,6.4067345,6
environmental management,8.46294,6.113585,6
environmental policy,7.6099687,6.510984,6
human,8.418687,3.3115919,-1
motor vehicle,8.354254,6.801096,6
particulate matter,7.208442,0.60298336,-1
process technology,8.274459,7.0403624,6
structure analysis,7.6512175,6.477285,6
traffic and transport,8.139202,6.2947793,6
urban area,7.5711746,6.0819488,6
direct injection,8.483352,6.050757,6
engines,5.992842,1.8400327,1
gasoline,11.053507,1.531188,-1
natural gas,9.555108,8.628016,2
organic carbon,13.143203,8.692578,0
chassis dynamometers,8.306896,6.7615657,6
driving pattern,8.004769,6.3296113,6
elemental carbon,13.122788,8.685569,0
emission factors,7.6618037,4.2206492,6
gasoline vehicle,10.893828,1.5931207,-1
light duty vehicles,8.48367,6.087704,6
organics,9.507948,4.724067,6
pm$-2.5$,5.1534395,5.088399,4
source profiles,8.183674,6.7987857,6
vehicle exhausts,8.347262,6.774491,6
dynamometers,5.1098137,5.1049843,4
chemical analysis,8.151606,6.142286,6
chemical composition,8.248668,6.1139016,6
engine,6.009283,1.9131275,1
exhaust emission,9.3355055,8.293368,-1
particulate matter,7.209033,0.59532666,-1
source identification,8.170876,6.7785473,6
china,7.1606607,2.0984545,3
poaceae,4.9247904,5.1458316,4
acidification,10.673655,6.159132,-1
ammonia,10.297059,4.129981,6
anaerobic digestion,9.321648,3.1063287,-1
biogas,8.610202,4.773876,-1
diesel engines,5.9954214,1.8558875,1
eutrophication,10.673653,6.159145,-1
fertilizers,10.114039,4.681106,6
gas emissions,6.3336105,1.3398652,-1
greenhouse gases,17.12477,6.064554,-1
manures,8.462185,5.0675373,-1
anaerobics,5.289037,5.161031,4
biogas production,8.362262,6.0803595,6
digestate,5.3805704,5.3171186,4
greenhouse gas emissions,8.35824,0.99339086,-1
life-cycle environmental impact,9.062523,4.117609,-1
manure,8.462865,5.0704355,-1
manure storages,8.46222,5.0676417,-1
municipal organic waste,10.357538,3.0899596,-1
organic wastes,9.502706,4.7570815,6
renewable energy directive,8.81194,8.295345,6
life cycle,4.662253,9.274862,-1
alkalinity,10.105707,4.890605,6
batch reactors,8.429302,6.3028,6
biogas,8.598207,4.7405033,-1
effluents,8.712212,5.7110076,6
methane,11.08612,1.6540009,-1
nutrients,9.144842,4.9217167,6
productivity,8.027018,7.699666,6
recycling,8.599558,5.849858,6
sodium hydroxide,10.143624,4.856566,6
trace elements,8.128832,6.365765,6
wastewater treatment,8.800799,5.289056,6
anaerobic sequencing batch reactors,9.302547,3.2290776,-1
energy productivity,8.215321,8.536712,6
energy yields,8.726666,8.1968975,6
ethanol wastewater,9.41852,4.1942673,6
ph-regulation,8.2582,6.280006,6
reactor volumetric ratio,8.238505,6.271818,6
recycle ratios,8.600189,5.823882,6
steady state,8.029436,6.4129977,6
three-step anerobic sequencing batch reactor,8.417554,6.354698,6
volumetric ratio,8.198021,6.2977247,6
ethanol,9.419713,4.196388,6
alkalinity,10.102045,4.891159,6
ethanol,9.420454,4.197588,6
extraction method,8.114628,6.587971,6
hydrolysis,8.737253,5.3740892,6
loading,8.19282,6.4580765,6
methane,11.135443,1.6078801,-1
methanogenesis,5.263699,5.2068887,4
sludge,8.698013,5.117217,6
steady-state equilibrium,8.1216135,6.3441586,6
wastewater,8.698935,5.137392,6
automobiles,9.503649,7.83625,-1
carbon dioxide,13.2257185,8.754766,0
environmental impact,7.876119,6.3971667,6
gas emissions,6.3315673,1.3377945,-1
greenhouse gases,17.059193,6.06916,-1
life cycle,4.6592126,9.266338,-1
methane,11.093363,1.6465943,-1
natural gas wells,9.545111,8.617141,2
trucks,8.648662,6.261318,6
wheels,8.426433,6.7196836,6
gas productions,8.986777,6.063624,6
hybrid electric truck,9.619782,7.856994,-1
hybrid trucks,9.445375,7.4815454,6
methane emissions,11.081035,1.6587725,-1
methane leakage,11.109907,1.6299611,-1
passenger vehicles,8.641931,6.5354533,6
recovery phase,8.691978,8.046147,6
well-to-wheel analysis,8.303722,6.24877,6
compressed natural gas,4.632788,10.4691925,-1
environmental impact,7.8629117,6.414629,6
environmental management,8.499901,6.0767736,6
machinery,8.412057,6.590604,6
complex assessment,7.9006124,6.4450994,6
comprehensive environmental assessment,7.877097,6.4543386,6
environmental assessment,7.858548,6.4525404,6
environmental performance,7.7565618,6.595219,6
measurement equipment,8.258998,6.6761312,6
operating condition,7.994216,6.5160675,6
research methodologies,8.026014,6.7824063,6
safety requirements,7.7857056,6.6609683,6
vehicles,8.642025,6.5268273,6
agricultural wastes,8.593922,6.1705275,6
biogas,8.611472,4.774652,-1
compressed natural gas,4.6950665,10.406907,-1
energy security,8.665627,8.634782,6
fossil fuels,7.6789775,3.3841076,-1
methane,11.116795,1.6222937,-1
natural gas vehicles,8.712698,6.32584,2
regional planning,8.003836,6.6236463,6
biomethane,5.2486324,5.1858616,4
compressed biogas,8.648942,4.7994795,-1
energy needs,8.662146,8.278986,6
feasibility studies,7.375126,7.3738723,6
future energies,8.754079,8.362328,6
renewables,8.834525,8.247227,6
rural development,7.697649,6.2858753,6
solar pvs,8.937934,7.160539,6
solar/wind,8.956429,7.1620965,6
sustainable energy,8.780325,8.262639,6
developing countries,8.007723,6.581937,6
building,8.356087,6.544909,6
electricity,8.966405,8.271077,6
feasibility study,7.434934,7.3378277,6
fossil fuel,7.6634626,3.3666527,-1
installation,8.146593,6.6811132,6
methane,11.113991,1.6256311,-1
natural gas,9.529532,8.647391,2
photovoltaic system,8.840635,7.0713444,6
policy making,7.668303,6.884937,6
india,6.604179,3.0709434,3
carbon dioxide,13.225378,8.722618,0
carbon dioxide process,13.22269,8.718002,0
coal,9.265866,6.16583,6
cost benefit analysis,8.148235,6.300812,6
cost reduction,8.161447,6.1782107,-1
energy efficiency,8.222095,8.552448,6
fossil fuel power plants,8.897802,6.8355794,6
gas emissions,6.3656816,1.368136,-1
gas fuel purification,8.894576,5.9721866,6
gas supply,8.935022,6.1561985,6
greenhouse gases,17.093624,6.085051,-1
hydrogen production,8.694961,7.120469,6
liquefied natural gas,9.680503,8.733463,2
natural gasoline plants,8.839226,5.7281423,6
supply chains,8.933146,7.510604,6
carbon dioxide capture,13.185551,8.706845,0
coal-fired power plant,8.890266,6.835998,6
life cycle assessment (lca),9.16113,3.9699516,-1
life-cycle ghg emissions,8.489824,5.9515963,6
life-cycle greenhouse gas emissions,8.496889,5.946029,6
liquefied natural gas (lng),9.284198,7.2877154,-1
material and energy flows,8.749361,8.216592,6
supply chain optimization,8.925936,7.49787,6
life cycle,4.6618056,9.284899,-1
carbon dioxide,13.24898,8.744235,0
coal-fired power plant,8.887062,6.8308167,6
energy efficiency,8.220801,8.558193,6
greenhouse gas,8.358467,0.99310166,-1
life cycle analysis,9.1240835,3.668227,-1
liquefied natural gas,9.634369,8.680027,2
optimization,5.6216145,6.7924414,-1
supply chain management,8.926952,7.5064273,6
china,7.172912,2.107158,3
anaerobic digestion,9.317648,3.1185558,-1
biogas,8.612528,4.7753696,-1
cogeneration plants,8.886294,5.757263,6
environmental impact,7.8848977,6.4297695,6
eutrophication,10.673649,6.1591306,-1
life cycle,4.6618676,9.274035,-1
sensitivity analysis,7.1061387,6.8993206,6
starch,8.995664,5.5431232,6
anaerobic digester,9.318617,3.1278718,-1
anaerobics,4.965036,5.236614,4
business-as-usual,8.2797165,6.241928,6
cassava starch,8.967082,5.59547,6
closed-loop,8.284737,6.2645926,6
fresh water,8.598966,5.2875986,6
global warming potential,8.638923,8.611138,-1
manioc,5.155022,5.5821447,4
water energy,8.733323,8.228025,6
yuca,5.09039,5.544176,4
plants (botany),8.747827,4.5909605,-1
bagasse,9.574695,5.981256,6
biofuels,24.0562,6.2125874,-1
biogas,8.618119,4.7702165,-1
carbon dioxide,13.257635,8.742137,0
electric power generation,8.848787,6.95855,6
environmental impact,7.875436,6.410401,6
ethanol,9.420352,4.1976237,6
investments,7.9810805,6.501697,6
uncertainty analysis,7.03589,7.000153,6
co2 emissions,7.5897865,4.046679,6
energy carriers,8.739481,8.235017,6
light vehicles,8.476945,6.100882,6
monte carlo approach,5.1617074,5.7164106,4
primary energies,8.770546,8.31061,6
primary fuels,9.240745,5.8910084,6
second generation,8.833466,6.936459,6
sugar-cane bagasse,9.030542,5.61388,6
light weight vehicles,8.4758,6.099136,6
biofuel,24.076967,6.173191,-1
carbon emission,7.442085,3.2504525,6
crop residue,8.779661,5.5934415,6
efficiency measurement,8.203427,8.457896,6
electricity,8.96571,8.271728,6
straw,8.669444,5.597863,6
sugar cane,9.024804,5.6026278,6
transport vehicle,8.596212,6.572865,6
activated carbon,13.086439,8.629952,0
agricultural robots,8.346952,6.5304933,6
bioeconomy,5.184032,5.236431,4
biofuels,24.054007,6.2122245,-1
biomass,9.612821,6.0073457,6
cellulosic ethanol,9.418094,4.202484,6
lignin,8.776678,5.102599,6
nanohorns,5.1615553,5.295725,4
phenolic resins,8.833424,5.8120227,6
reinforced plastics,8.731157,5.971117,6
waste management,8.533321,5.925662,6
bacterial cellulose,8.738187,5.0863395,6
industrial recovery,8.6838045,7.959534,6
industrial utilization,8.4337225,6.4780483,6
lignocellulosic feedstocks,9.485364,5.9399567,6
lignocellulosic material,8.606452,6.122414,6
petrochemical resources,9.079647,6.118381,6
specialty materials,8.611236,6.103752,6
sustainable waste management,8.5349,5.924385,6
lignocellulosic biomass,9.613099,6.0075216,6
activated carbon,13.158261,8.699889,0
biomass,9.6071825,6.0062447,6
materials,8.617148,6.0927024,6
polyphenolics,5.1298366,5.1039124,4
production methods,8.236667,6.571777,6
review,8.285344,8.885575,-1
waste management,8.533372,5.925484,6
biogas,8.612718,4.775243,-1
carbon dioxide,13.296746,8.787116,0
separation,8.166504,6.6179194,6
sewage pumping plants,8.726931,5.2586045,6
sewage treatment plants,8.730076,5.2979784,6
wastewater treatment,8.831853,5.2972383,6
water treatment plants,8.70442,5.3121996,6
anaerobic co-digestion,9.336386,3.1223466,-1
chemical scrubbing,8.213647,6.0488114,6
cryogenic technologies,8.289123,6.853665,6
materials engineering,8.504715,6.239994,6
membrane separation,8.292437,5.647301,6
microalgal cultures,7.917821,6.0180583,6
pressure swing adsorption,8.421216,5.709489,6
wastewater treatment plants,8.761976,5.3117857,6
anaerobic digestion,9.317652,3.1191506,-1
activated carbon,13.151043,8.695239,0
ammonia,10.300049,4.130051,6
biogas,8.611998,4.7762604,-1
biomethane,4.9836674,5.171004,4
hydrogen sulfide,10.891703,5.6326694,-1
methane,11.071414,1.686178,-1
organic solvent,9.482477,4.72238,6
siloxane,4.990635,5.245549,4
unclassified drug,6.511567,3.1671474,-1
water,8.596559,5.2890596,6
biofuel,24.05554,6.210998,-1
methane,11.088567,1.6493204,-1
anaerobic digestion,9.317518,3.1191437,-1
bioenergy,24.085003,6.220413,-1
biogas,8.68905,4.6989064,-1
critical analysis,7.133446,6.966384,6
innovation,8.228484,6.228452,6
methane,11.083196,1.65645,-1
wastewater treatment plant,8.794339,5.2874722,6
adsorption,8.570328,5.4988875,6
anaerobic co digestion,9.327852,3.1238523,-1
anaerobic digestion,9.318176,3.1136444,-1
biotechnology,6.9244895,7.206566,5
chemical analysis,8.152354,6.141442,6
chemical oxygen demand,8.25938,5.929753,6
chemical scrubbing,8.214612,6.0438786,6
electricity,8.97949,8.278848,6
feasibility study,7.3930655,7.360298,6
microalga,5.126655,5.071411,4
municipal solid waste,10.385766,3.0414486,-1
nonhuman,-3.776926,18.430294,-1
organic fraction of municipal solid waste,10.307712,3.1617706,-1
physical scrubbing,8.165099,6.0246735,6
pressure swing adsorption,8.42291,5.7091513,6
review,8.285579,8.885704,-1
sewage,8.69644,5.12121,6
trend study,7.2253547,7.313054,6
waste water treatment plant,8.681642,5.3522863,6
water vapor,8.594482,5.276849,6
anaerobic growth,9.29915,3.1618853,-1
bioreactor,9.47092,4.203732,-1
digestion,9.322951,3.077725,-1
water management,8.63659,5.572224,6
anaerobiosis,5.2239714,5.238635,4
biofuels,24.057234,6.2135196,-1
bioreactors,9.470937,4.2037306,-1
digestion,9.314879,3.1123142,-1
methane,11.064825,1.6747173,-1
water purification,8.6157675,5.305572,6
analytical tool,7.5289826,6.9172845,6
foreign countries,8.003431,6.5863347,6
public space,8.133614,6.4502563,6
social interactions,7.6736884,6.5188675,6
space network,8.124097,6.784619,6
space syntax theory,7.7312884,6.8877215,6
spatial properties,7.915892,6.1624165,6
urban configurations,7.644517,6.1440506,6
carbon,13.177338,8.715361,0
climate change,4.19373,5.0667653,-1
environmental technology,8.280571,7.0734053,6
gas emissions,6.2923007,1.2995096,-1
greenhouse gases,17.098257,6.084319,-1
hydraulic fracturing,9.140765,5.9764857,6
leak detection,8.036154,6.567777,6
