,x,y,label
bottom hole pressure,9.792086,4.899058,46
compressed air,10.77315,8.293017,24
compressed natural gas,1.4225262,-2.518361,6
digital storage,2.8696477,2.6033082,-1
electric energy storage,14.935963,15.801514,-1
electric power generation,11.89793,3.9621694,46
gas industry,12.140282,4.476857,11
gases,7.794102,-2.8680265,1
horizontal wells,9.914731,4.155339,46
injection (oil wells),5.1704884,1.5941962,-1
natural gas wells,18.441235,12.479349,7
natural gasoline plants,6.879108,2.7335196,16
numerical models,11.741215,8.025356,46
petroleum reservoir evaluation,8.902071,6.529555,46
pressure vessels,4.058135,0.8287878,23
shale gas,12.224007,3.7942228,-1
compressed air energy storages (caes),9.912846,3.8181822,-1
conceptual model,11.289531,7.758884,46
electricity demands,10.997273,4.1380987,46
fractured horizontal wells,9.91604,4.155763,46
generate electricity,9.506368,-0.12953603,-1
reservoir modeling,11.058201,7.201335,46
storage potential,10.228761,6.507326,46
storage reservoirs,12.829799,5.7131996,37
compressed air energy storage,17.186419,4.9409595,9
combustion chambers,13.864692,7.2530646,38
compressed natural gas,1.1990944,-2.4973319,6
gas emissions,6.386085,-1.7997183,28
laser beams,10.70095,5.563749,46
mixtures,11.976634,5.511236,-1
neodymium lasers,10.708578,5.5565863,46
yttrium aluminum garnet,10.100877,5.118894,46
combustion duration,13.581383,7.3751717,38
constant volume combustion chambers,10.307048,6.018317,46
filling pressures,10.146475,6.3389993,46
flame kernel,10.3239,6.000131,46
flame kernel speed,10.304675,5.9712462,46
hydrogen enriched cng,8.643009,4.4371405,18
hydrogen-enriched compressed natural gas,1.2170359,-2.467161,6
laser ignition,11.006286,1.2230234,30
shadowgraphy,10.314862,4.0684295,32
start of combustion,13.737291,7.3648863,38
ignition,10.9984665,1.1838299,30
biogas,1.7089468,9.223413,-1
combined heat and power,10.735236,2.8114028,46
energy efficiency,18.99123,5.3693857,21
fluid,10.639883,5.234223,46
nanoparticle,10.245104,5.318618,46
natural gas,18.591389,12.639787,7
temperature effect,9.775973,3.9210324,46
assessment method,10.674228,6.5974145,46
bus transport,8.825649,7.8706727,46
comparative study,12.161821,8.395664,46
energy efficiency,19.043707,5.318887,21
fuel cell,10.0826645,5.188556,46
natural gas,18.58121,12.587703,7
automotive fuels,14.91898,-1.9651364,-1
compressed natural gas,1.5110813,-2.5568287,6
cost benefit analysis,15.645086,2.678377,-1
costs,5.5916038,8.829501,40
diesel engines,4.961873,-0.181615,20
economics,9.881404,14.295769,-1
emission control,15.584022,9.284172,-1
fleet operations,8.670204,8.669189,-1
fuel economy,5.9330335,0.5673335,-1
gas emissions,6.3065515,-1.7259421,28
greenhouse gases,16.10801,8.098306,22
http,10.241928,4.0909643,32
life cycle,11.198948,-2.5522225,-1
natural gas transportation,10.286973,6.9274273,17
planning,10.019002,7.684045,46
trucks,4.5756416,11.726883,-1
wheels,16.229832,13.477442,-1
argonne national laboratory,10.198963,5.60571,46
feasibility studies,11.316389,7.6791196,46
life cycle analysis,13.656859,4.9627748,37
operating economics,9.866407,14.323244,-1
operational savings,9.45311,7.473568,46
regulated emissions,9.144525,3.0189743,43
transportation sector,9.060121,7.671714,46
us department of energy,7.4720464,8.479797,-1
natural gas vehicles,15.097298,11.712511,25
composite structures,10.141046,5.795468,46
compressed natural gas,1.3790013,-2.4993796,6
design,9.796053,8.007574,46
pressure vessels,4.0987453,0.8697566,23
automotive applications,9.855411,6.73065,46
composite pressure vessels,4.074086,0.8450147,23
compressed natural gasses (cng),-6.164863,8.592262,29
design methodology,9.871893,7.717635,46
experimental validations,10.778285,6.956096,46
