,x,y,label
"1,2 dibromo 3 chloropropane",-1.0774347,3.4173067,42
androgen receptor,4.28146,2.693207,53
arsenic,11.3075485,1.8438774,-1
atrazine,0.4442517,3.2854593,-1
cadmium,11.305334,1.8459278,-1
caffeine,5.2889276,4.7202363,-1
cannabis,2.964102,4.2140245,44
carbon monoxide,-2.3453686,4.06057,5
chlorphenotane,-1.4576155,2.6794188,42
connexin 43,-1.0816855,3.4050446,42
endocrine disruptor,2.1793633,4.6013355,-1
follitropin,-1.3322798,2.6319058,42
gonadotropin,4.2996235,2.6972508,53
hydrocortisone,4.1511326,2.7680228,53
luteinizing hormone,4.301879,2.6871946,53
melatonin,4.310962,2.6817496,53
mercury,7.7199774,0.7123285,-1
organochlorine derivative,4.384304,2.8458545,54
organophosphate,0.43390456,3.2892554,-1
phenoxyacetic acid,4.4755054,2.6371734,54
phthalic acid,4.419905,2.6753073,54
polycyclic aromatic hydrocarbon,4.056033,2.457078,-1
reactive oxygen metabolite,4.156747,3.1073382,-1
testosterone,4.391983,2.6537085,53
toxin,2.6152494,3.9295294,-1
tramadol,2.9274893,4.2340064,44
air pollution,-0.32635635,-1.6547906,23
azoospermia,4.3676405,2.7378259,53
bariatric surgery,4.682604,2.5386815,53
cryptorchism,-1.3710023,2.7373714,42
dna damage,4.3334594,2.6805782,53
dna fragmentation,3.6724994,3.122235,53
dna methylation,3.7596974,3.1008406,53
echography,-1.5716416,2.653356,42
environmental exposure,4.1191707,2.1820817,0
human,2.0582707,7.440179,1
hyperprolactinemia,-1.4665829,2.5741198,42
hyperthermia,4.7351155,2.3210266,53
hypogonadism,4.4885015,2.5836012,53
hypogonadotropic hypogonadism,4.480774,2.589002,53
hypospadias,4.5183725,2.6812189,53
in vitro fertilization,4.4515133,2.7537813,53
infertility therapy,3.8018086,3.9714148,-1
ionizing radiation,3.8555522,2.3308952,58
male fertility,3.7914166,3.9820545,-1
male infertility,3.7875123,3.9903846,-1
noise pollution,1.7099689,5.615562,41
ovary polycystic disease,4.761016,2.4772027,53
oxidative stress,4.381838,3.0601845,-1
particulate matter,9.2480545,-4.0865436,-1
pregnancy rate,4.3643675,1.3817997,-1
review,10.435721,4.1225653,-1
signal transduction,3.601274,2.6471958,58
smoking,8.902355,10.602025,-1
sperm count,4.3467464,2.7999675,53
sperm quality,4.334483,2.8068807,53
spermatogenesis,4.361162,2.7518454,53
spermatozoon motility,4.335222,2.8020477,53
spontaneous abortion,5.5752473,2.4760082,-1
testis cancer,4.604216,2.5798223,53
testosterone blood level,4.7213264,2.5773654,53
thyroid function,3.646342,2.4929812,-1
tobacco,0.388391,1.7397318,28
toxicology,1.4318773,6.150098,-1
waist circumference,4.623315,2.439765,53
ammonia,4.277534,3.1194427,-1
bacteria,3.9714427,3.5065904,-1
biogas,4.880962,2.7279491,-1
biomass,5.9492035,5.05551,-1
electron transitions,3.634249,2.532265,58
electron transport properties,3.9492912,2.6050363,-1
fossil fuels,6.268048,-5.8206744,2
greenhouse gases,0.4311441,-3.425038,30
metal nanoparticles,4.4248734,2.702605,54
methane,7.9410815,4.9887767,8
physicochemical properties,3.7460043,3.0863247,-1
'current,4.003622,3.4688876,58
anaerobic digestion process,4.1850224,3.3028708,53
anaerobics,-1.2795177,2.5228617,42
conductive nanoparticles,4.403001,2.7155876,54
current status,2.644302,-2.1175466,-1
electron carrier,3.6392868,2.5433109,58
electron transfer,3.6432974,2.52862,58
future perspectives,2.980949,4.3012037,52
interspecies electron transfer,3.6508105,2.5402265,58
zero-valent metals,4.3053684,2.9283135,-1
anaerobic digestion,4.175318,3.3056622,53
alternative energy,3.2853959,2.4348204,45
anaerobic digestion,4.195687,3.3181233,53
bacterium,2.6017177,3.8790538,-1
biodegradation,3.361878,2.9146369,-1
